|                            Task                            |Version|      Metric      |Value |   |Stderr|
|------------------------------------------------------------|-------|------------------|-----:|---|-----:|
|all                                                         |       |pass@k_with_k&n   |0.3300|±  |0.0390|
|                                                            |       |codegen_pass@1:16 |0.0448|±  |0.0127|
|                                                            |       |gpqa_pass@k_with_k|0.2727|±  |0.0317|
|                                                            |       |pass@k_with_k     |0.1760|±  |0.0372|
|                                                            |       |acc               |0.4404|±  |0.0486|
|extended:lcb:codegeneration:0                               |       |codegen_pass@1:16 |0.0448|±  |0.0127|
|lighteval:aime24:0                                          |       |pass@k_with_k     |0.0000|±  |0.0000|
|lighteval:aime25:0                                          |       |pass@k_with_k&n   |0.1000|±  |0.0557|
|lighteval:gpqa:diamond:0                                    |       |gpqa_pass@k_with_k|0.2727|±  |0.0317|
|lighteval:math_500:0                                        |       |pass@k_with_k&n   |0.5600|±  |0.0222|
|lighteval:mmlu_redux_2:_average:0                           |       |pass@k_with_k     |0.1791|±  |0.0378|
|                                                            |       |acc               |0.4404|±  |0.0486|
|lighteval:mmlu_redux_2:abstract_algebra:0                   |       |pass@k_with_k     |0.1400|±  |0.0349|
|                                                            |       |acc               |0.3100|±  |0.0465|
|lighteval:mmlu_redux_2:anatomy:0                            |       |pass@k_with_k     |0.1400|±  |0.0349|
|                                                            |       |acc               |0.4600|±  |0.0501|
|lighteval:mmlu_redux_2:astronomy:0                          |       |pass@k_with_k     |0.2100|±  |0.0409|
|                                                            |       |acc               |0.4600|±  |0.0501|
|lighteval:mmlu_redux_2:business_ethics:0                    |       |pass@k_with_k     |0.2600|±  |0.0441|
|                                                            |       |acc               |0.4600|±  |0.0501|
|lighteval:mmlu_redux_2:clinical_knowledge:0                 |       |pass@k_with_k     |0.1500|±  |0.0359|
|                                                            |       |acc               |0.3900|±  |0.0490|
|lighteval:mmlu_redux_2:college_biology:0                    |       |pass@k_with_k     |0.1800|±  |0.0386|
|                                                            |       |acc               |0.4700|±  |0.0502|
|lighteval:mmlu_redux_2:college_chemistry:0                  |       |pass@k_with_k     |0.0800|±  |0.0273|
|                                                            |       |acc               |0.3600|±  |0.0482|
|lighteval:mmlu_redux_2:college_computer_science:0           |       |pass@k_with_k     |0.2100|±  |0.0409|
|                                                            |       |acc               |0.3500|±  |0.0479|
|lighteval:mmlu_redux_2:college_mathematics:0                |       |pass@k_with_k     |0.1700|±  |0.0378|
|                                                            |       |acc               |0.2400|±  |0.0429|
|lighteval:mmlu_redux_2:college_medicine:0                   |       |pass@k_with_k     |0.2300|±  |0.0423|
|                                                            |       |acc               |0.4100|±  |0.0494|
|lighteval:mmlu_redux_2:college_physics:0                    |       |pass@k_with_k     |0.1300|±  |0.0338|
|                                                            |       |acc               |0.3300|±  |0.0473|
|lighteval:mmlu_redux_2:computer_security:0                  |       |pass@k_with_k     |0.1400|±  |0.0349|
|                                                            |       |acc               |0.5200|±  |0.0502|
|lighteval:mmlu_redux_2:conceptual_physics:0                 |       |pass@k_with_k     |0.1300|±  |0.0338|
|                                                            |       |acc               |0.3800|±  |0.0488|
|lighteval:mmlu_redux_2:econometrics:0                       |       |pass@k_with_k     |0.0900|±  |0.0288|
|                                                            |       |acc               |0.3200|±  |0.0469|
|lighteval:mmlu_redux_2:electrical_engineering:0             |       |pass@k_with_k     |0.1400|±  |0.0349|
|                                                            |       |acc               |0.3600|±  |0.0482|
|lighteval:mmlu_redux_2:elementary_mathematics:0             |       |pass@k_with_k     |0.1100|±  |0.0314|
|                                                            |       |acc               |0.2200|±  |0.0416|
|lighteval:mmlu_redux_2:formal_logic:0                       |       |pass@k_with_k     |0.2500|±  |0.0435|
|                                                            |       |acc               |0.3300|±  |0.0473|
|lighteval:mmlu_redux_2:global_facts:0                       |       |pass@k_with_k     |0.1700|±  |0.0378|
|                                                            |       |acc               |0.3500|±  |0.0479|
|lighteval:mmlu_redux_2:high_school_biology:0                |       |pass@k_with_k     |0.1200|±  |0.0327|
|                                                            |       |acc               |0.5100|±  |0.0502|
|lighteval:mmlu_redux_2:high_school_chemistry:0              |       |pass@k_with_k     |0.2100|±  |0.0409|
|                                                            |       |acc               |0.3500|±  |0.0479|
|lighteval:mmlu_redux_2:high_school_computer_science:0       |       |pass@k_with_k     |0.1600|±  |0.0368|
|                                                            |       |acc               |0.4800|±  |0.0502|
|lighteval:mmlu_redux_2:high_school_european_history:0       |       |pass@k_with_k     |0.2100|±  |0.0409|
|                                                            |       |acc               |0.5100|±  |0.0502|
